id,name,slug,display_order,previous_stone,previous_slug,next_stone,next_slug
C-0269,Adamite,adamite,0,null,null,Aegirine,aegirine
C-0402,Aegirine,aegirine,0,Adamite,adamite,Ajoite,ajoite
C-0271,Ajoite,ajoite,0,Aegirine,aegirine,Alexandrite,alexandrite
C-0144,Alexandrite,alexandrite,144,Ajoite,ajoite,Amazonite,amazonite
C-0025,Amazonite,amazonite,25,Alexandrite,alexandrite,Amber,amber
C-0145,Amber,amber,145,Amazonite,amazonite,Amblygonite,amblygonite
C-0273,Amblygonite,amblygonite,0,Amber,amber,Amegreen,amegreen
C-0274,Amegreen,amegreen,274,Amblygonite,amblygonite,Amethyst,amethyst
C-0119,Amethyst,amethyst,119,Amegreen,amegreen,Ametrine,ametrine
C-0120,Ametrine,ametrine,120,Amethyst,amethyst,Ammolite,ammolite
C-0146,Ammolite,ammolite,146,Ametrine,ametrine,Ammonite,ammonite
C-0147,Ammonite,ammonite,147,Ammolite,ammolite,Andalusite,andalusite
C-0148,Andalusite,andalusite,148,Ammonite,ammonite,Andradite Garnet,andradite-garnet
C-0275,Andradite Garnet,andradite-garnet,0,Andalusite,andalusite,Angel Aura Quartz,angel-aura-quartz
C-0276,Angel Aura Quartz,angel-aura-quartz,276,Andradite Garnet,andradite-garnet,Angelite,angelite
C-0171,Angelite,angelite,171,Angel Aura Quartz,angel-aura-quartz,Apache Tears,apache-tears
C-0138,Apache Tears,apache-tears,138,Angelite,angelite,Apophyllite,apophyllite
C-0246,Apophyllite,apophyllite,246,Apache Tears,apache-tears,Aqua Aura Quartz,aqua-aura-quartz
C-0277,Aqua Aura Quartz,aqua-aura-quartz,277,Apophyllite,apophyllite,Aquamarine,aquamarine
C-0021,Aquamarine,aquamarine,21,Aqua Aura Quartz,aqua-aura-quartz,Aragonite,aragonite
C-0001,Aragonite,aragonite,1,Aquamarine,aquamarine,Arkansas Quartz,arkansas-quartz
C-0106,Arkansas Quartz,arkansas-quartz,106,Aragonite,aragonite,Astrophyllite,astrophyllite
C-0247,Astrophyllite,astrophyllite,247,Arkansas Quartz,arkansas-quartz,Atlantisite,atlantisite
C-0133,Atlantisite,atlantisite,133,Astrophyllite,astrophyllite,Auralite 23,auralite-23
C-0182,Auralite 23,auralite-23,182,Atlantisite,atlantisite,Axinite,axinite
C-0278,Axinite,axinite,278,Auralite 23,auralite-23,Azurite,azurite
C-0006,Azurite,azurite,6,Axinite,axinite,Banded Carnelian,banded-carnelian
C-0149,Banded Carnelian,banded-carnelian,149,Azurite,azurite,Barite,barite
C-0206,Barite,barite,206,Banded Carnelian,banded-carnelian,Biotite,biotite
C-0400,Biotite,biotite,0,Barite,barite,Bismuth,bismuth
C-0208,Bismuth,bismuth,208,Biotite,biotite,Black Amethyst,black-amethyst
C-0150,Black Amethyst,black-amethyst,150,Bismuth,bismuth,Black Chalcedony,black-chalcedony
C-0081,Black Chalcedony,black-chalcedony,81,Black Amethyst,black-amethyst,Black Kyanite,black-kyanite
C-0063,Black Kyanite,black-kyanite,63,Black Chalcedony,black-chalcedony,Black Moonstone,black-moonstone
C-0159,Black Moonstone,black-moonstone,159,Black Kyanite,black-kyanite,Black Obsidian,black-obsidian
C-0139,Black Obsidian,black-obsidian,139,Black Moonstone,black-moonstone,Black Opal,black-opal
C-0281,Black Opal,black-opal,0,Black Obsidian,black-obsidian,Black Tourmaline,black-tourmaline
C-0129,Black Tourmaline,black-tourmaline,129,Black Opal,black-opal,Bloodstone,bloodstone
C-0151,Bloodstone,bloodstone,151,Black Tourmaline,black-tourmaline,Blue Apatite,blue-apatite
C-0044,Blue Apatite,blue-apatite,44,Bloodstone,bloodstone,Blue Aragonite,blue-aragonite
C-0002,Blue Aragonite,blue-aragonite,2,Blue Apatite,blue-apatite,Blue Aventurine,blue-aventurine
C-0177,Blue Aventurine,blue-aventurine,177,Blue Aragonite,blue-aragonite,Blue Calcite,blue-calcite
C-0007,Blue Calcite,blue-calcite,7,Blue Aventurine,blue-aventurine,Blue Chalcedony,blue-chalcedony
C-0082,Blue Chalcedony,blue-chalcedony,82,Blue Calcite,blue-calcite,Blue Chert,blue-chert
C-0152,Blue Chert,blue-chert,152,Blue Chalcedony,blue-chalcedony,Blue Fluorite,blue-fluorite
C-0031,Blue Fluorite,blue-fluorite,31,Blue Chert,blue-chert,Blue Halite,blue-halite
C-0282,Blue Halite,blue-halite,0,Blue Fluorite,blue-fluorite,Blue Kyanite,blue-kyanite
C-0064,Blue Kyanite,blue-kyanite,64,Blue Halite,blue-halite,Blue Lace Agate,blue-lace-agate
C-0069,Blue Lace Agate,blue-lace-agate,69,Blue Kyanite,blue-kyanite,Blue Opal,blue-opal
C-0160,Blue Opal,blue-opal,160,Blue Lace Agate,blue-lace-agate,Blue Rose Quartz,blue-rose-quartz
C-9004,Blue Rose Quartz,blue-rose-quartz,0,Blue Opal,blue-opal,Blue Tiger's Eye,blue-tiger-s-eye
C-0167,Blue Tiger's Eye,blue-tiger-s-eye,167,Blue Rose Quartz,blue-rose-quartz,Blue Topaz,blue-topaz
C-0283,Blue Topaz,blue-topaz,0,Blue Tiger's Eye,blue-tiger-s-eye,Blue Tourmaline,blue-tourmaline
C-0058,Blue Tourmaline,blue-tourmaline,58,Blue Topaz,blue-topaz,Boji Stones,boji-stones
C-0184,Boji Stones,boji-stones,184,Blue Tourmaline,blue-tourmaline,Bornite,bornite
C-0331,Bornite,bornite,331,Boji Stones,boji-stones,Botswana Agate,botswana-agate
C-0070,Botswana Agate,botswana-agate,70,Bornite,bornite,Brandberg Amethyst,brandberg-amethyst
C-0284,Brandberg Amethyst,brandberg-amethyst,0,Botswana Agate,botswana-agate,Brecciated Jasper,brecciated-jasper
C-0087,Brecciated Jasper,brecciated-jasper,87,Brandberg Amethyst,brandberg-amethyst,Bronzite,bronzite
C-0248,Bronzite,bronzite,248,Brecciated Jasper,brecciated-jasper,Brookite,brookite
C-0286,Brookite,brookite,0,Bronzite,bronzite,Brown Tourmaline,brown-tourmaline
C-0053,Brown Tourmaline,brown-tourmaline,53,Brookite,brookite,Buddstone,buddstone
C-0287,Buddstone,buddstone,287,Brown Tourmaline,brown-tourmaline,Bumblebee Jasper,bumblebee-jasper
C-0008,Bumblebee Jasper,bumblebee-jasper,8,Buddstone,buddstone,Bustamite,bustamite
C-0288,Bustamite,bustamite,0,Bumblebee Jasper,bumblebee-jasper,Cacoxenite,cacoxenite
C-0289,Cacoxenite,cacoxenite,0,Bustamite,bustamite,Calligraphy Stone,calligraphy-stone
C-0363,Calligraphy Stone,calligraphy-stone,363,Cacoxenite,cacoxenite,Caribbean Calcite,caribbean-calcite
C-0009,Caribbean Calcite,caribbean-calcite,9,Calligraphy Stone,calligraphy-stone,Carnelian,carnelian
C-0153,Carnelian,carnelian,153,Caribbean Calcite,caribbean-calcite,Cavansite,cavansite
C-0220,Cavansite,cavansite,220,Carnelian,carnelian,Celestite,celestite
C-0221,Celestite,celestite,221,Cavansite,cavansite,Chalcopyrite,chalcopyrite
C-0292,Chalcopyrite,chalcopyrite,292,Celestite,celestite,Charoite,charoite
C-0249,Charoite,charoite,249,Chalcopyrite,chalcopyrite,Chevron Amethyst,chevron-amethyst
C-0154,Chevron Amethyst,chevron-amethyst,154,Charoite,charoite,Chiastolite,chiastolite
C-0250,Chiastolite,chiastolite,250,Chevron Amethyst,chevron-amethyst,Chocolate Calcite,chocolate-calcite
C-9002,Chocolate Calcite,chocolate-calcite,0,Chiastolite,chiastolite,Chrysanthemum Stone,chrysanthemum-stone
C-0185,Chrysanthemum Stone,chrysanthemum-stone,185,Chocolate Calcite,chocolate-calcite,Chrysoberyl,chrysoberyl
C-0294,Chrysoberyl,chrysoberyl,0,Chrysanthemum Stone,chrysanthemum-stone,Chrysocolla,chrysocolla
C-0052,Chrysocolla,chrysocolla,52,Chrysoberyl,chrysoberyl,Chrysoprase,chrysoprase
C-0155,Chrysoprase,chrysoprase,155,Chrysocolla,chrysocolla,Cinnabrite,cinnabrite
C-0251,Cinnabrite,cinnabrite,251,Chrysoprase,chrysoprase,Citrine,citrine
C-0121,Citrine,citrine,121,Cinnabrite,cinnabrite,Clear Fluorite,clear-fluorite
C-0295,Clear Fluorite,clear-fluorite,0,Citrine,citrine,Clear Quartz,clear-quartz
C-0105,Clear Quartz,clear-quartz,105,Clear Fluorite,clear-fluorite,Cobaltoan Calcite,cobaltoan-calcite
C-0011,Cobaltoan Calcite,cobaltoan-calcite,11,Clear Quartz,clear-quartz,Copper,copper
C-0037,Copper,copper,37,Cobaltoan Calcite,cobaltoan-calcite,Covellite,covellite
C-0135,Covellite,covellite,135,Copper,copper,Crackle Quartz,crackle-quartz
C-0124,Crackle Quartz,crackle-quartz,124,Covellite,covellite,Crazy Lace Agate,crazy-lace-agate
C-0071,Crazy Lace Agate,crazy-lace-agate,71,Crackle Quartz,crackle-quartz,Creedite,creedite
C-0296,Creedite,creedite,0,Crazy Lace Agate,crazy-lace-agate,Cuprite,cuprite
C-0298,Cuprite,cuprite,298,Creedite,creedite,Dalmatian Jasper,dalmatian-jasper
C-0088,Dalmatian Jasper,dalmatian-jasper,88,Cuprite,cuprite,Danburite,danburite
C-0234,Danburite,danburite,234,Dalmatian Jasper,dalmatian-jasper,Dendritic Agate,dendritic-agate
C-0072,Dendritic Agate,dendritic-agate,72,Danburite,danburite,Desert Rose,desert-rose
C-0172,Desert Rose,desert-rose,172,Dendritic Agate,dendritic-agate,Diaspore,diaspore
C-0235,Diaspore,diaspore,235,Desert Rose,desert-rose,Diopside,diopside
C-0236,Diopside,diopside,236,Diaspore,diaspore,Dioptase,dioptase
C-0019,Dioptase,dioptase,19,Diopside,diopside,Dolomite,dolomite
C-0237,Dolomite,dolomite,237,Dioptase,dioptase,Dragon's Blood Jasper,dragon-s-blood-jasper
C-0089,Dragon's Blood Jasper,dragon-s-blood-jasper,89,Dolomite,dolomite,Dream Quartz,dream-quartz
C-0301,Dream Quartz,dream-quartz,0,Dragon's Blood Jasper,dragon-s-blood-jasper,Druzy Agate,druzy-agate
C-0073,Druzy Agate,druzy-agate,73,Dream Quartz,dream-quartz,Dumortierite,dumortierite
C-0054,Dumortierite,dumortierite,54,Druzy Agate,druzy-agate,Elestial Quartz,elestial-quartz
C-0366,Elestial Quartz,elestial-quartz,0,Dumortierite,dumortierite,Elite Shungite,elite-shungite
C-0302,Elite Shungite,elite-shungite,302,Elestial Quartz,elestial-quartz,Emerald,emerald
C-0022,Emerald,emerald,22,Elite Shungite,elite-shungite,Enhydro Quartz,enhydro-quartz
C-0367,Enhydro Quartz,enhydro-quartz,0,Emerald,emerald,Epidote,epidote
C-0238,Epidote,epidote,238,Enhydro Quartz,enhydro-quartz,Eudialyte,eudialyte
C-0239,Eudialyte,eudialyte,239,Epidote,epidote,Faden Quartz,faden-quartz
C-0304,Faden Quartz,faden-quartz,0,Eudialyte,eudialyte,Fancy Jasper,fancy-jasper
C-0305,Fancy Jasper,fancy-jasper,0,Faden Quartz,faden-quartz,Fire Agate,fire-agate
C-0074,Fire Agate,fire-agate,74,Fancy Jasper,fancy-jasper,Fire Opal,fire-opal
C-0306,Fire Opal,fire-opal,306,Fire Agate,fire-agate,Flower Agate,flower-agate
C-0075,Flower Agate,flower-agate,75,Fire Opal,fire-opal,Fossilized Coral,fossilized-coral
C-0308,Fossilized Coral,fossilized-coral,308,Flower Agate,flower-agate,Fuchsite,fuchsite
C-0252,Fuchsite,fuchsite,252,Fossilized Coral,fossilized-coral,Fulgurite,fulgurite
C-0156,Fulgurite,fulgurite,156,Fuchsite,fuchsite,Galena,galena
C-0136,Galena,galena,136,Fulgurite,fulgurite,Garnet,garnet
C-0048,Garnet,garnet,48,Galena,galena,Gaspeite,gaspeite
C-0310,Gaspeite,gaspeite,0,Garnet,garnet,Goethite,goethite
C-0040,Goethite,goethite,40,Gaspeite,gaspeite,Gold Sheen Obsidian,gold-sheen-obsidian
C-0140,Gold Sheen Obsidian,gold-sheen-obsidian,140,Goethite,goethite,Tiger's Eye,tigers-eye
C-0168,Tiger's Eye,tigers-eye,168,Gold Sheen Obsidian,gold-sheen-obsidian,Golden Healer Quartz,golden-healer-quartz
C-0122,Golden Healer Quartz,golden-healer-quartz,122,Tiger's Eye,tigers-eye,Golden Labradorite,golden-labradorite
C-0311,Golden Labradorite,golden-labradorite,311,Golden Healer Quartz,golden-healer-quartz,Goldstone,goldstone
C-0186,Goldstone,goldstone,186,Golden Labradorite,golden-labradorite,Goshenite,goshenite
C-0404,Goshenite,goshenite,0,Goldstone,goldstone,Grape Agate,grape-agate
C-0076,Grape Agate,grape-agate,76,Goshenite,goshenite,Green Apatite,green-apatite
C-0045,Green Apatite,green-apatite,45,Grape Agate,grape-agate,Green Aragonite,green-aragonite
C-0003,Green Aragonite,green-aragonite,3,Green Apatite,green-apatite,Green Aventurine,green-aventurine
C-0178,Green Aventurine,green-aventurine,178,Green Aragonite,green-aragonite,Green Calcite,green-calcite
C-0012,Green Calcite,green-calcite,12,Green Aventurine,green-aventurine,Green Fluorite,green-fluorite
C-0032,Green Fluorite,green-fluorite,32,Green Calcite,green-calcite,Green Heulandite,green-heulandite
C-0313,Green Heulandite,green-heulandite,0,Green Fluorite,green-fluorite,Green Kyanite,green-kyanite
C-0065,Green Kyanite,green-kyanite,65,Green Heulandite,green-heulandite,Green Moonstone,green-moonstone
C-0399,Green Moonstone,green-moonstone,399,Green Kyanite,green-kyanite,Green Opal,green-opal
C-0314,Green Opal,green-opal,314,Green Moonstone,green-moonstone,Green Tourmaline,green-tourmaline
C-0057,Green Tourmaline,green-tourmaline,57,Green Opal,green-opal,Greenstone,greenstone
C-0315,Greenstone,greenstone,0,Green Tourmaline,green-tourmaline,Grossular Garnet,grossular-garnet
C-0061,Grossular Garnet,grossular-garnet,61,Greenstone,greenstone,Hackmanite,hackmanite
C-0364,Hackmanite,hackmanite,364,Grossular Garnet,grossular-garnet,Halite,halite
C-0240,Halite,halite,240,Hackmanite,hackmanite,Healer's Gold,healer-s-gold
C-0317,Healer's Gold,healer-s-gold,317,Halite,halite,Healerite,healerite
C-0049,Healerite,healerite,49,Healer's Gold,healer-s-gold,Heliodor,heliodor
C-0023,Heliodor,heliodor,23,Healerite,healerite,Hematite,hematite
C-0041,Hematite,hematite,41,Heliodor,heliodor,Hematoid Quartz,hematoid-quartz
C-0113,Hematoid Quartz,hematoid-quartz,113,Hematite,hematite,Hemimorphite,hemimorphite
C-0318,Hemimorphite,hemimorphite,318,Hematoid Quartz,hematoid-quartz,Herkimer Diamond,herkimer-diamond
C-0123,Herkimer Diamond,herkimer-diamond,123,Hemimorphite,hemimorphite,Hiddenite,hiddenite
C-0161,Hiddenite,hiddenite,161,Herkimer Diamond,herkimer-diamond,Honey Calcite,honey-calcite
C-0013,Honey Calcite,honey-calcite,13,Hiddenite,hiddenite,Howlite,howlite
C-0241,Howlite,howlite,241,Honey Calcite,honey-calcite,Hypersthene,hypersthene
C-0320,Hypersthene,hypersthene,320,Howlite,howlite,Imperial Topaz,imperial-topaz
C-0321,Imperial Topaz,imperial-topaz,0,Hypersthene,hypersthene,Indigo Gabbro,indigo-gabbro
C-0187,Indigo Gabbro,indigo-gabbro,187,Imperial Topaz,imperial-topaz,Infinite,infinite
C-0050,Infinite,infinite,50,Indigo Gabbro,indigo-gabbro,Iolite,iolite
C-0222,Iolite,iolite,222,Infinite,infinite,Jadeite,jadeite
C-0062,Jadeite,jadeite,62,Iolite,iolite,Jet,jet
C-0204,Jet,jet,204,Jadeite,jadeite,K2 Jasper,k2-jasper
C-0059,K2 Jasper,k2-jasper,59,Jet,jet,Kambaba Jasper,kambaba-jasper
C-0132,Kambaba Jasper,kambaba-jasper,132,K2 Jasper,k2-jasper,Kiwi Jasper,kiwi-jasper
